Elapsed time,localhost CPU,localhost Memory,localhost Network I/O
21:25:46.0,22.105,80.239,0.0
21:25:47.0,28.917,80.149,1260.0
21:25:48.0,50.196,80.334,4830.0
21:25:49.0,65.641,80.155,0.0
21:25:50.0,55.733,80.173,840.0
21:25:51.0,55.267,80.28,540.0
21:25:52.0,53.297,80.191,1220.0
21:25:53.0,34.33,80.261,530.0
21:25:54.0,25.967,80.26,0.0
21:25:55.0,30.343,80.261,840.0
21:25:56.0,26.968,80.192,615.0
21:25:57.0,30.457,80.23,740.0
21:25:58.0,29.564,80.179,2695.0
21:25:59.0,34.0,80.176,3710.0
21:26:00.0,23.755,80.171,1190.0
21:26:01.0,29.282,79.881,0.0
21:26:02.0,36.061,80.027,3085.0
21:26:03.0,32.816,80.03,3510.0
21:26:04.0,32.408,80.05,880.0
21:26:05.0,42.603,80.112,1770.0
21:26:06.0,46.848,80.1,7175.0
21:26:07.0,70.799,80.198,770.0
21:26:08.0,68.094,80.275,570.0
21:26:09.0,87.13,80.401,320.0
21:26:10.0,87.399,80.572,840.0
21:26:11.0,37.909,80.44,595.0
21:26:12.0,31.257,80.432,540.0
21:26:13.0,29.2,80.397,0.0
21:26:14.0,45.527,80.367,1145.0
