Elapsed time,localhost CPU,localhost Memory,localhost Network I/O
21:34:22.0,13.271,80.151,0.0
21:34:23.0,53.882,80.243,1075.0
21:34:24.0,41.785,80.285,0.0
21:34:25.0,51.393,80.291,0.0
21:34:26.0,53.288,80.274,0.0
21:34:27.0,50.199,80.25,3200.0
21:34:28.0,54.686,80.251,1990.0
21:34:29.0,44.525,80.239,0.0
21:34:30.0,28.9,80.235,2000.0
21:34:31.0,30.075,80.218,0.0
21:34:32.0,26.849,80.226,840.0
21:34:33.0,59.375,80.217,2165.0
21:34:34.0,61.618,80.231,1095.0
21:34:35.0,26.86,80.239,1095.0
21:34:36.0,29.717,80.222,1095.0
21:34:37.0,28.535,80.231,1380.0
21:34:38.0,28.878,80.223,390.0
21:34:39.0,30.084,80.217,530.0
21:34:40.0,26.55,80.216,0.0
21:34:41.0,35.26,80.209,0.0
21:34:42.0,54.099,80.084,840.0
21:34:43.0,74.688,80.113,800.0
21:34:44.0,57.206,80.181,2950.0
21:34:45.0,57.894,80.188,1255.0
21:34:46.0,59.727,80.149,0.0
21:34:47.0,56.178,80.156,840.0
21:34:48.0,34.645,80.147,640.0
21:34:49.0,36.212,80.151,670.0
21:34:50.0,33.432,80.156,1660.0
21:34:51.0,35.15,80.146,540.0
21:34:52.0,32.066,80.152,840.0
21:34:53.0,32.016,80.149,0.0
21:34:54.0,28.942,80.146,2905.0
21:34:55.0,30.413,79.743,350.0
21:34:56.0,32.266,79.734,0.0
21:34:57.0,28.429,79.735,0.0
21:34:58.0,34.221,79.853,50600.0
21:34:59.0,30.361,79.855,12805.0
21:35:00.0,31.642,79.868,4720.0
21:35:01.0,53.078,79.892,100770.0
21:35:02.0,53.513,79.761,4720.0
21:35:03.0,55.083,79.793,450.0
21:35:04.0,56.039,79.782,1380.0
21:35:05.0,52.658,79.792,540.0
21:35:06.0,40.954,79.783,0.0
21:35:07.0,36.315,79.786,0.0
21:35:08.0,30.482,79.746,0.0
21:35:09.0,37.749,79.775,3170.0
21:35:10.0,30.69,79.784,0.0
21:35:11.0,35.467,79.774,0.0
21:35:12.0,32.348,79.785,1460.0
21:35:13.0,37.614,79.78,0.0
21:35:14.0,30.303,79.776,840.0
21:35:15.0,28.139,79.791,765.0
21:35:16.0,32.312,79.782,0.0
21:35:17.0,28.925,79.785,0.0
21:35:18.0,31.786,79.782,640.0
21:35:19.0,41.385,79.778,1380.0
21:35:20.0,52.713,79.784,0.0
21:35:21.0,57.181,79.779,0.0
21:35:22.0,58.225,79.778,0.0
21:35:23.0,59.945,79.781,920.0
21:35:24.0,53.685,79.773,840.0
21:35:25.0,27.706,79.781,0.0
21:35:26.0,31.431,79.77,540.0
21:35:27.0,27.325,79.781,0.0
21:35:28.0,35.941,79.777,450.0
21:35:29.0,31.514,79.772,1650.0
21:35:30.0,27.252,79.78,32770.0
21:35:31.0,28.489,79.771,0.0
21:35:32.0,33.848,79.791,3345.0
21:35:33.0,59.227,79.87,1065.0
21:35:34.0,30.336,79.97,7490.0
21:35:35.0,27.639,79.978,1705.0
21:35:36.0,31.001,79.969,1255.0
21:35:37.0,33.09,79.977,0.0
21:35:38.0,58.764,79.972,0.0
21:35:39.0,59.29,79.965,840.0
21:35:40.0,52.338,79.972,540.0
21:35:41.0,56.787,79.822,5995.0
21:35:42.0,53.125,79.825,0.0
21:35:43.0,65.38,79.854,1335.0
21:35:44.0,40.62,79.895,2875.0
21:35:45.0,54.286,79.867,0.0
21:35:46.0,31.199,79.913,2210.0
21:35:47.0,28.107,79.908,930.0
21:35:48.0,28.429,79.912,640.0
21:35:49.0,27.114,79.883,840.0
21:35:50.0,27.139,79.887,0.0
21:35:51.0,30.002,79.877,0.0
21:35:52.0,27.725,79.884,0.0
21:35:53.0,57.695,79.837,1755.0
21:35:54.0,28.935,79.869,1770.0
21:35:55.0,27.725,79.877,1370.0
21:35:56.0,52.143,79.863,0.0
21:35:57.0,53.135,79.875,0.0
21:35:58.0,53.288,79.875,42530.0
21:35:59.0,52.128,79.866,840.0
21:36:00.0,53.71,79.867,2645.0
